Step,Waiting_Time,Queue_Length,Density
670,562.0,57,0.7819654808030998
671,553.0,54,0.7608312786192323
672,573.0,60,0.7608312786192322
673,594.0,63,0.7396970764353645
674,615.0,63,0.7396970764353645
675,636.0,63,0.7185628742514969
676,658.0,66,0.7185628742514969
677,680.0,66,0.6974286720676295
678,702.0,66,0.6762944698837619
679,725.0,69,0.6762944698837621
680,748.0,69,0.6762944698837619
681,771.0,69,0.6551602676998944
682,794.0,69,0.6340260655160269
683,818.0,72,0.6340260655160269
684,842.0,72,0.6340260655160269
685,868.0,78,0.6340260655160269
686,894.0,78,0.6551602676998944
687,920.0,78,0.6340260655160268
688,946.0,78,0.6340260655160268
689,972.0,78,0.6340260655160268
690,1001.0,87,0.6551602676998944
691,1030.0,87,0.6551602676998944
692,1059.0,87,0.6974286720676296
693,1088.0,87,0.7185628742514971
694,1117.0,87,0.7185628742514971
695,1146.0,87,0.7608312786192322
696,1175.0,87,0.7608312786192322
697,1205.0,90,0.7608312786192322
698,1035.0,84,0.7185628742514971
699,941.0,78,0.7608312786192324
700,858.0,72,0.7819654808030998
701,814.0,66,0.7396970764353645
702,793.0,63,0.7608312786192323
703,788.0,57,0.7819654808030998
704,793.0,57,0.7608312786192324
705,812.0,60,0.7608312786192324
706,834.0,66,0.718562874251497
707,856.0,66,0.718562874251497
708,880.0,72,0.6762944698837621
709,904.0,72,0.6974286720676296
710,929.0,75,0.6551602676998943
711,954.0,75,0.6551602676998943
712,980.0,78,0.6340260655160269
713,1006.0,78,0.6340260655160269
714,1032.0,78,0.6340260655160267
715,1058.0,78,0.6340260655160267
716,1085.0,81,0.6128918633321593
717,1112.0,81,0.6340260655160269
718,1139.0,81,0.6551602676998944
719,1166.0,81,0.6762944698837621
720,1193.0,81,0.6762944698837621
721,1220.0,81,0.6551602676998944
722,1247.0,81,0.6551602676998944
723,1274.0,81,0.676294469883762
724,1301.0,81,0.6551602676998944
725,1328.0,81,0.676294469883762
726,1355.0,81,0.676294469883762
727,1383.0,84,0.6974286720676296
728,1411.0,84,0.7185628742514972
729,1440.0,87,0.7185628742514972
730,1469.0,87,0.7185628742514972
731,1315.0,87,0.676294469883762
732,1174.0,81,0.6974286720676296
733,1037.0,75,0.6974286720676296
734,915.0,72,0.6551602676998944
735,798.0,69,0.6551602676998944
736,698.0,63,0.6551602676998944
737,622.0,60,0.6551602676998944
738,580.0,54,0.6974286720676296
739,557.0,48,0.6974286720676294
740,556.0,42,0.7608312786192319
741,563.0,39,0.760831278619232
742,576.0,39,0.7396970764353644
743,589.0,39,0.7185628742514968
744,602.0,39,0.6974286720676293
745,615.0,39,0.6974286720676293
746,628.0,39,0.7185628742514969
747,642.0,42,0.718562874251497
748,656.0,42,0.718562874251497
749,670.0,42,0.7185628742514971
750,685.0,45,0.6974286720676296
751,701.0,48,0.6974286720676296
752,718.0,51,0.6974286720676296
753,736.0,54,0.6974286720676296
754,755.0,57,0.6762944698837621
755,775.0,60,0.6551602676998944
756,796.0,63,0.6551602676998944
757,817.0,63,0.6551602676998944
758,838.0,63,0.6340260655160269
759,859.0,63,0.6340260655160269
760,882.0,69,0.6340260655160269
761,905.0,69,0.6551602676998944
762,929.0,72,0.6340260655160269
763,954.0,75,0.6340260655160269
764,980.0,78,0.6340260655160269
765,1006.0,78,0.6340260655160269
766,1034.0,84,0.6340260655160269
767,1062.0,84,0.6340260655160269
768,1090.0,84,0.6551602676998944
769,1118.0,84,0.6762944698837621
770,1147.0,87,0.6762944698837621
771,980.0,81,0.6340260655160269
772,851.0,78,0.6340260655160269
773,743.0,72,0.6551602676998944
774,646.0,66,0.6340260655160268
775,590.0,60,0.6551602676998943
776,543.0,57,0.6340260655160268
777,521.0,54,0.6551602676998944
778,524.0,51,0.6340260655160268
779,541.0,51,0.6340260655160268
780,558.0,51,0.6128918633321594
781,575.0,51,0.5917576611482918
782,592.0,51,0.5917576611482918
783,609.0,51,0.5917576611482918
784,627.0,54,0.5706234589644241
785,647.0,60,0.5706234589644241
786,669.0,66,0.5494892567805567
787,691.0,66,0.5494892567805567
788,713.0,66,0.5283550545966891
789,735.0,66,0.5283550545966891
790,758.0,69,0.5283550545966891
791,782.0,72,0.5283550545966891
792,806.0,72,0.5283550545966891
793,830.0,72,0.5283550545966891
794,854.0,72,0.5494892567805567
795,878.0,72,0.5917576611482918
796,902.0,72,0.5917576611482918
797,926.0,72,0.5917576611482918
798,950.0,72,0.6128918633321593
799,974.0,72,0.6128918633321593
